subj,set_size,correct,trial,session,block,tested
10,4,1,1,1,1,2
10,8,0,4,1,1,8
10,2,1,9,1,1,2
10,6,1,23,1,1,2
10,4,1,5,1,2,3
10,8,0,7,1,2,5
10,6,1,10,1,2,3
10,2,1,19,1,2,1
10,2,1,9,1,3,2
10,6,0,16,1,3,5
10,8,0,23,1,3,1
10,4,1,26,1,3,4
10,2,1,1,1,4,1
10,8,1,2,1,4,2
10,4,1,14,1,4,1
10,6,1,28,1,4,1
10,6,1,6,1,5,4
10,8,1,11,1,5,6
10,4,1,17,1,5,2
10,2,1,28,1,5,1
10,8,1,2,1,6,7
10,6,1,8,1,6,6
10,2,1,27,1,6,2
10,4,1,28,1,6,1
10,8,0,6,1,7,4
10,6,1,10,1,7,2
10,2,1,11,1,7,2
10,4,1,27,1,7,3
10,8,0,9,2,1,2
10,6,1,21,2,1,3
10,2,1,22,2,1,2
10,4,0,28,2,1,4
10,2,1,7,2,2,1
10,4,1,15,2,2,2
10,6,1,20,2,2,4
10,8,0,23,2,2,4
10,8,1,12,2,3,8
10,2,1,17,2,3,1
10,4,1,24,2,3,3
10,6,1,25,2,3,6
10,8,1,1,2,4,6
10,6,1,8,2,4,1
10,2,1,10,2,4,2
10,4,1,18,2,4,1
10,6,1,3,2,5,5
10,4,1,10,2,5,1
10,2,1,14,2,5,2
10,8,1,24,2,5,1
10,8,1,1,2,6,5
10,6,1,3,2,6,2
10,2,1,5,2,6,1
10,4,1,19,2,6,2
10,2,1,5,2,7,2
10,4,1,7,2,7,3
10,8,1,21,2,7,7
10,6,1,23,2,7,1
10,6,1,8,2,8,6
10,2,1,9,2,8,1
10,4,1,16,2,8,4
10,8,1,18,2,8,3
10,4,1,7,3,1,3
10,6,0,14,3,1,2
10,8,0,17,3,1,4
10,2,1,22,3,1,1
10,8,1,5,3,2,7
10,2,1,7,3,2,2
10,6,1,9,3,2,4
10,4,1,17,3,2,1
10,2,1,3,3,3,1
10,4,1,15,3,3,4
10,8,0,17,3,3,1
10,6,1,26,3,3,1
10,8,1,1,3,4,6
10,2,1,3,3,4,2
10,4,1,8,3,4,2
10,6,1,19,3,4,3
10,6,1,1,3,5,6
10,8,1,15,3,5,2
10,4,1,17,3,5,1
10,2,1,19,3,5,1
10,6,1,5,3,6,5
10,8,0,13,3,6,5
10,4,1,15,3,6,2
10,2,1,25,3,6,2
10,4,1,1,3,7,3
10,2,1,6,3,7,2
10,8,1,27,3,7,3
10,6,1,28,3,7,1
10,4,1,6,3,8,4
10,8,1,18,3,8,8
10,6,1,20,3,8,5
10,2,1,23,3,8,1
